id,title,authors,pdf_url,mp4_url,review_url,source_page
,ネイティブ英語発話の日本人風の発音への変換による国際的な意識の促進,西田 健志 (神戸大学),https://www.wiss.org/WISS2013Proceedings/oral/S1_001.pdf,,https://www.wiss.org/WISS2013Proceedings/review/S1_001.review.txt,https://www.wiss.org/WISS2013Proceedings/
,SmartVoice：言語の壁を越えたプレゼンテーションサポーティングシステム,"李 翔 (東京大学), 暦本 純一 (東京大学／Sony CSL)",https://www.wiss.org/WISS2013Proceedings/oral/S1_002.pdf,https://www.wiss.org/WISS2013Proceedings/video/S1_002.mp4,https://www.wiss.org/WISS2013Proceedings/review/S1_002.review.txt,https://www.wiss.org/WISS2013Proceedings/
,視覚障害者のための写真撮影・閲覧・共有インタフェース,"浅川 智恵子, 原田 丞, 佐藤 大介, 石原 辰也, 髙木 啓伸 (日本IBM)",https://www.wiss.org/WISS2013Proceedings/oral/S1_003.pdf,,https://www.wiss.org/WISS2013Proceedings/review/S1_003.review.txt,https://www.wiss.org/WISS2013Proceedings/
,個人的な小さな幸せを実現するブラウザ上での動画編集・共有手法,"中村 聡史 (明治大学), 石川 直樹 (東京農工大学), 渡邊 恵太 (明治大学)",https://www.wiss.org/WISS2013Proceedings/oral/S1_004.pdf,,https://www.wiss.org/WISS2013Proceedings/review/S1_004.review.txt,https://www.wiss.org/WISS2013Proceedings/
,HirakuReader : 行間を拡張する電子書籍,"中村 将達, 西田 健志 (神戸大学)",https://www.wiss.org/WISS2013Proceedings/oral/S2_005.pdf,,https://www.wiss.org/WISS2013Proceedings/review/S2_005.review.txt,https://www.wiss.org/WISS2013Proceedings/
,SuprIME: IMEによるテキスト編集機能の統合,"中園 翔, 増井 俊之 (慶應義塾大学)",https://www.wiss.org/WISS2013Proceedings/oral/S2_006.pdf,https://www.wiss.org/WISS2013Proceedings/video/S2_006.m4v,https://www.wiss.org/WISS2013Proceedings/review/S2_006.review.txt,https://www.wiss.org/WISS2013Proceedings/
,CapStudio: プログラムの実行画面の録画映像を利用した統合開発環境,"深堀 孔明, 坂本 大介, 加藤 淳, 五十嵐 健夫 (東京大学)",https://www.wiss.org/WISS2013Proceedings/oral/S2_007.pdf,https://www.wiss.org/WISS2013Proceedings/video/S2_007.mp4,https://www.wiss.org/WISS2013Proceedings/review/S2_007.review.txt,https://www.wiss.org/WISS2013Proceedings/
,順解析と逆解析を相互に利用する打楽器のインタラクティブなデザインインタフェース,"山本 和彦 (東京大学/ヤマハ株式会社), 五十嵐 健夫 (東京大学)",https://www.wiss.org/WISS2013Proceedings/oral/S2_008.pdf,,https://www.wiss.org/WISS2013Proceedings/review/S2_008.review.txt,https://www.wiss.org/WISS2013Proceedings/
,SensingFork：フォーク型センサを用いた食行動改善手法,"門村 亜珠沙 (お茶の水女子大学), 李 爭原, 陳 嚴章 (国立台湾大学) 塚田 浩二 (はこだて未来大学), 朱 浩華 (国立台湾大学)",https://www.wiss.org/WISS2013Proceedings/oral/S3_009.pdf,,https://www.wiss.org/WISS2013Proceedings/review/S3_009.review.txt,https://www.wiss.org/WISS2013Proceedings/
,鍵盤上への演奏補助情報投影機能をもつピアノ学習支援システムにおける熟達化プロセスに関する調査,"竹川 佳成, 椿本 弥生, 田柳 恵美子, 平田 圭二 (公立はこだて未来大学)",https://www.wiss.org/WISS2013Proceedings/oral/S3_010.pdf,,https://www.wiss.org/WISS2013Proceedings/review/S3_010.review.txt,https://www.wiss.org/WISS2013Proceedings/
,LumoSpheres: 複数浮遊物体の実時間追跡にもとづく映像投影,"山口 裕明, 小池 英樹 (電気通信大学)",https://www.wiss.org/WISS2013Proceedings/oral/S3_011.pdf,https://www.wiss.org/WISS2013Proceedings/video/S3_011.mp4,https://www.wiss.org/WISS2013Proceedings/review/S3_011.review.txt,https://www.wiss.org/WISS2013Proceedings/
,画像照合に基づく多メディア間の話題追跡システム,"豊田 正史, 伊藤 正彦 (東京大学), Cai-Zhi Zhu, 佐藤 真一 (国立情報学研究所), 喜連川 優 (東京大学　生産技術研究所)",https://www.wiss.org/WISS2013Proceedings/oral/S4_012.pdf,https://www.wiss.org/WISS2013Proceedings/video/S4_012.mp4,https://www.wiss.org/WISS2013Proceedings/review/S4_012.review.txt,https://www.wiss.org/WISS2013Proceedings/
,静止画内物体への変形指示による動画検索,"川手 裕太, 岡部 誠, 尾内 理紀夫 (電気通信大学), 平野 廣美 (楽天株式会社／電気通信大学)",https://www.wiss.org/WISS2013Proceedings/oral/S4_013.pdf,,https://www.wiss.org/WISS2013Proceedings/review/S4_013.review.txt,https://www.wiss.org/WISS2013Proceedings/
