id,title,authors,pdf_url,mp4_url,review_url,source_page
,一人称視点映像の高速閲覧に有効なキューの自動生成手法,粥川 青汰（早大），樋口 啓太（東大），中村 優文（早大），米谷 竜，佐藤 洋一（東大），森島 繁生（早大）,https://www.wiss.org/WISS2017Proceedings/oral/01.pdf,,https://www.wiss.org/WISS2017Proceedings/oral/01.html,https://www.wiss.org/WISS2017Proceedings/
,DanceDJ: ライブパフォーマンスを実現する実時間ダンス生成システム,岩本 尚也（早大，華為技術日本），加藤 卓哉，柿塚 亮（早大），Hubert Shum（ノーザンブリア大），原 健太（明治大），森島 繁生（早大）,https://www.wiss.org/WISS2017Proceedings/oral/02.pdf,https://www.wiss.org/WISS2017Proceedings/oral/02.mp4,https://www.wiss.org/WISS2017Proceedings/oral/02.html,https://www.wiss.org/WISS2017Proceedings/
,小型広角カメラを用いた視線方向の推定,田中 恭友，小池 英樹（東工大）,https://www.wiss.org/WISS2017Proceedings/oral/03.pdf,https://www.wiss.org/WISS2017Proceedings/oral/03.mov,https://www.wiss.org/WISS2017Proceedings/oral/03.html,https://www.wiss.org/WISS2017Proceedings/
,M系列円筒バーコードとAR和服帯試着システムへの応用,奥山 瑞希，的場 やすし，椎尾 一郎（お茶の水女子大）,https://www.wiss.org/WISS2017Proceedings/oral/04.pdf,https://www.wiss.org/WISS2017Proceedings/oral/04.mp4,https://www.wiss.org/WISS2017Proceedings/oral/04.html,https://www.wiss.org/WISS2017Proceedings/
,モデルとビューを分離したプレゼン用ビジュアルエイドシステム,大坪 五郎（LIFULL）,https://www.wiss.org/WISS2017Proceedings/oral/05.pdf,,https://www.wiss.org/WISS2017Proceedings/oral/05.html,https://www.wiss.org/WISS2017Proceedings/
,エッジ情報の多いコンテンツに対する自然な視線誘導の提案,東 佳代，小池 英樹（東工大）,https://www.wiss.org/WISS2017Proceedings/oral/06.pdf,https://www.wiss.org/WISS2017Proceedings/oral/06.m4v,https://www.wiss.org/WISS2017Proceedings/oral/06.html,https://www.wiss.org/WISS2017Proceedings/
,複数カメラのスイッチング半自動化機能をもつ遠隔ピアノレッスン支援システム,松井 遼太，竹川 佳成，平田 圭二（はこだて未来大）,https://www.wiss.org/WISS2017Proceedings/oral/07.pdf,https://www.wiss.org/WISS2017Proceedings/oral/07.mp4,https://www.wiss.org/WISS2017Proceedings/oral/07.html,https://www.wiss.org/WISS2017Proceedings/
,多視点ダンス映像のインタラクティブ編集システム,土田 修平，後藤 真孝，深山 覚（産総研）,https://www.wiss.org/WISS2017Proceedings/oral/08.pdf,https://www.wiss.org/WISS2017Proceedings/oral/08.mov,https://www.wiss.org/WISS2017Proceedings/oral/08.html,https://www.wiss.org/WISS2017Proceedings/
,Open Palm Menu: 手掌前に配置する仮想メニューの提案,浅井 拓己（立命館大），大槻 麻衣（筑波大），柴田 史久，木村 朝子（立命館大）,https://www.wiss.org/WISS2017Proceedings/oral/09.pdf,https://www.wiss.org/WISS2017Proceedings/oral/09.mp4,https://www.wiss.org/WISS2017Proceedings/oral/09.html,https://www.wiss.org/WISS2017Proceedings/
,導電性インクの両面印刷による電気刺激と静電吸着を用いた複合触覚ディスプレイの作成手法,加藤 邦拓（明治大），石塚 裕己（香川大），梶本 裕之（電通大），宮下 芳明（明治大）,https://www.wiss.org/WISS2017Proceedings/oral/10.pdf,,https://www.wiss.org/WISS2017Proceedings/oral/10.html,https://www.wiss.org/WISS2017Proceedings/
,没入感拡張システムのためのpix2pixを用いた周辺視野映像生成,木村 直紀（東大），暦本 純一（東大／Sony CSL）,https://www.wiss.org/WISS2017Proceedings/oral/11.pdf,,https://www.wiss.org/WISS2017Proceedings/oral/11.html,https://www.wiss.org/WISS2017Proceedings/
,nullize: 深度取得可能なスマートフォンを用いたデバイスの透明化・擬態化手法,中屋 裕登，渡邊 恵太（明治大）,https://www.wiss.org/WISS2017Proceedings/oral/12.pdf,https://www.wiss.org/WISS2017Proceedings/oral/12.mp4,https://www.wiss.org/WISS2017Proceedings/oral/12.html,https://www.wiss.org/WISS2017Proceedings/
,Ohmic-Touch: 静電容量方式タッチサーフェス上におけるオブジェクトを介したインタラクション手法,池松 香，椎尾 一郎（お茶の水女子大）,https://www.wiss.org/WISS2017Proceedings/oral/13.pdf,,https://www.wiss.org/WISS2017Proceedings/oral/13.html,https://www.wiss.org/WISS2017Proceedings/
