id,title,authors,pdf_url,mp4_url,comments_url,source_page,other_links
1,ParaSights：両眼視野闘争によって2つの環境と並行してインタラクションできる空間提示手法,"山本 航世(明治大学), 渡邊 恵太(明治大学)",https://www.wiss.org/WISS2024Proceedings/data/paper/1.pdf,https://www.wiss.org/WISS2024Proceedings/data/paper/1.mp4,https://www.wiss.org/WISS2024Proceedings/data/paper/1.html,https://www.wiss.org/WISS2024Proceedings/,
2,HidEye：片目を隠す動作によるHMD用インタラクション手法の提案,"伊勢 隆之介(公立はこだて未来大学), 塚田 浩二(公立はこだて未来大学)",https://www.wiss.org/WISS2024Proceedings/data/paper/2.pdf,https://www.wiss.org/WISS2024Proceedings/data/paper/2.mp4,https://www.wiss.org/WISS2024Proceedings/data/paper/2.html,https://www.wiss.org/WISS2024Proceedings/,
3,高速投影による運動物体の残像色制御手法,"幸谷 有紗(東京科学大学), 宮藤 詩緒(東京科学大学), 小池 英樹(東京科学大学)",https://www.wiss.org/WISS2024Proceedings/data/paper/3.pdf,https://www.wiss.org/WISS2024Proceedings/data/paper/3.mp4,https://www.wiss.org/WISS2024Proceedings/data/paper/3.html,https://www.wiss.org/WISS2024Proceedings/,
4,机上に投影した空中立体映像による方向指示の精度調査,"松浦 向日葵(明治大学), 福地 健太郎(明治大学)",https://www.wiss.org/WISS2024Proceedings/data/paper/4.pdf,,https://www.wiss.org/WISS2024Proceedings/data/paper/4.html,https://www.wiss.org/WISS2024Proceedings/,
5,Whisphone: ささやき声で入力できるイヤホン,福本 雅朗(Microsoft),https://www.wiss.org/WISS2024Proceedings/data/paper/5.pdf,https://www.wiss.org/WISS2024Proceedings/data/paper/5.mp4,https://www.wiss.org/WISS2024Proceedings/data/paper/5.html,https://www.wiss.org/WISS2024Proceedings/,
6,楽器未経験者のための弦管打複合電子楽器の開発,"矢田 絵理奈(東京電機大学), 岩井 将行(東京電機大学)",https://www.wiss.org/WISS2024Proceedings/data/paper/6.pdf,https://www.wiss.org/WISS2024Proceedings/data/paper/6.mp4,https://www.wiss.org/WISS2024Proceedings/data/paper/6.html,https://www.wiss.org/WISS2024Proceedings/,
7,歌詞に基づく歌声アノテーションのためのインタフェース構築,"中野 倫靖(産業技術総合研究所), 加藤 淳(産業技術総合研究所), 渡邉 研斗(産業技術総合研究所), 濱崎 雅弘(産業技術総合研究所), 後藤 真孝(産業技術総合研究所)",https://www.wiss.org/WISS2024Proceedings/data/paper/7.pdf,,https://www.wiss.org/WISS2024Proceedings/data/paper/7.html,https://www.wiss.org/WISS2024Proceedings/,
8,TTTV4：一口ごとに味を提示する味覚のパーソナルメディア,"笠原 暢仁(明治大学), 深池 美玖(明治大学), 宮下 芳明(明治大学)",https://www.wiss.org/WISS2024Proceedings/data/paper/8.pdf,,https://www.wiss.org/WISS2024Proceedings/data/paper/8.html,https://www.wiss.org/WISS2024Proceedings/,
9,眼鏡の鼻あてに搭載した圧力センサを用いた耳ぴく入力と身体活動検出手法,"大塚 晟(神戸市立工業高等専門学校), 高田 崚介(神戸市立工業高等専門学校)",https://www.wiss.org/WISS2024Proceedings/data/paper//9.pdf,https://www.wiss.org/WISS2024Proceedings/data/paper//9.mp4,https://www.wiss.org/WISS2024Proceedings/data/paper//9.html,https://www.wiss.org/WISS2024Proceedings/,
10,母音，子音の順に選択を行う間接タッチ用かな文字入力手法,"和田 優斗(筑波大学), 白根 薫(筑波大学), 崔 明根(日本学術振興会/筑波大学), 志築 文太郎(筑波大学)",https://www.wiss.org/WISS2024Proceedings/data/paper//10.pdf,https://www.wiss.org/WISS2024Proceedings/data/paper//10.mp4,https://www.wiss.org/WISS2024Proceedings/data/paper//10.html,https://www.wiss.org/WISS2024Proceedings/,
11,E-String Figures: 導電繊維編み込み紐を用いたあやとり技認識システム,"永山 晃誠(筑波大学), 崔 明根(日本学術振興会/筑波大学), 武山 侑輝(筑波大学), 赤田 真由(筑波大学), 高田 崚介(神戸市立工業高等専門学校), 志築 文太郎(筑波大学)",https://www.wiss.org/WISS2024Proceedings/data/paper//11.pdf,https://www.wiss.org/WISS2024Proceedings/data/paper//11.mp4,https://www.wiss.org/WISS2024Proceedings/data/paper//11.html,https://www.wiss.org/WISS2024Proceedings/,
12,ボタンひとつで3Dプリントが体験できるシステムの提案と運用,"高橋 治輝(立命館大学), 臼井 義人(立命館大学), 松村 耕平(立命館大学)",https://www.wiss.org/WISS2024Proceedings/data/paper//12.pdf,https://www.wiss.org/WISS2024Proceedings/data/paper//12.mp4,https://www.wiss.org/WISS2024Proceedings/data/paper//12.html,https://www.wiss.org/WISS2024Proceedings/,
13,MagElePaint: 多様な素材に簡単に回路プロトタイピングが可能な磁性導電性塗料,"山岸 真人(神戸市立工業高等専門学校), 高田 崚介(神戸市立工業高等専門学校)",https://www.wiss.org/WISS2024Proceedings/data/paper//13.pdf,https://www.wiss.org/WISS2024Proceedings/data/paper//13.mp4,https://www.wiss.org/WISS2024Proceedings/data/paper//13.html,https://www.wiss.org/WISS2024Proceedings/,
14,RippleSpike: スパイク表現と波紋表現を組み合わせた情報提示手法,"野間 直生(公立はこだて未来大学), 沖 真帆(公立はこだて未来大学), 塚田 浩二(公立はこだて未来大学)",https://www.wiss.org/WISS2024Proceedings/data/paper//14.pdf,https://www.wiss.org/WISS2024Proceedings/data/paper//14.mp4,https://www.wiss.org/WISS2024Proceedings/data/paper//14.html,https://www.wiss.org/WISS2024Proceedings/,
