year,title,pdf_url,reason
2024,[1-A01] 楽器未経験者のための弦管打複合電子楽器の開発,,missing pdf_url
2024,[1-A02] ParaSights：両眼視野闘争によって2つの環境と並行してインタラクションできる空間提示手法,,missing pdf_url
2024,[1-A07] 歌詞に基づく歌声アノテーションのためのインタフェース構築,,missing pdf_url
2024,[1-A22] オノマトペを用いた脳波制御訓練手法による魔法ゲームシステム,,missing pdf_url
2024,[1-B03] Whisphone: ささやき声で入力できるイヤホン,,missing pdf_url
2024,[2-A04] 眼鏡の鼻あてに搭載した圧力センサを用いた耳ぴく入力と身体活動検出手法,,missing pdf_url
2024,[2-A08] PP-Checker: プログラミング教育における大規模言語モデルと協調した曖昧性のある自動採点システム,,missing pdf_url
2024,[2-A11] 母音，子音の順に選択を行う間接タッチ用かな文字入力手法,,missing pdf_url
2024,[2-A16] ボタンひとつで3Dプリントが体験できるシステムの提案と運用,,missing pdf_url
2024,[2-A21] TTTV4：一口ごとに味を提示する味覚のパーソナルメディア,,missing pdf_url
2024,[2-B03] MagElePaint: 多様な素材に簡単に回路プロトタイピングが可能な磁性導電性塗料,,missing pdf_url
2024,[2-B07] E-String Figures: 導電繊維編み込み紐を用いたあやとり技認識システム,,missing pdf_url
2024,[2-B20] HidEye：片目を隠す動作によるHMD用インタラクション手法の提案,,missing pdf_url
2024,[2-B21] Deliberate Maladjustment by Microorganisms: A Medium for Images or Luminous Bacteria,,missing pdf_url
2024,[3-A12] InverseVis: 疎な領域へのサンプリング点生成による多次元データ中の「非存在」の可視化,,missing pdf_url
2024,[3-A13] ShowMe: 対話的な強調表示と拡大表示によるプレゼンテーションビデオの視覚的アクセシビリティの改善,,missing pdf_url
2024,[3-B01] ゲームを用いた自動点眼システムの実装と検討,,missing pdf_url
2024,[3-B22] 机上に投影した空中立体映像による方向指示の精度調査,,missing pdf_url
2024,[C01] RAG を活用した研究アイデア発想支援システム,,missing pdf_url
2024,[C03] 参加者との協同を実現する言葉遊びアンケートシステム,,missing pdf_url
2023,[1-A06] 株式会社ほぼ日,,missing pdf_url
2023,[1-A11] フューチャー株式会社,,missing pdf_url
2023,[1-A14] Smart Replay:eラーニング動画における視覚的・時間的アクセシビリティの向上,,missing pdf_url
2023,[1-A15] 株式会社TwoGate,,missing pdf_url
2023,[2-A01] Inkjet 4D Print: Self-folding Tessellated Origami Objects by Inkjet UV Printing,,missing pdf_url
2023,[2-A09] 株式会社Helpfeel,,missing pdf_url
2023,[2-B02] Gino .Posture:MR向け姿勢誘導システム,,missing pdf_url
2023,[2-C02] 可食レンチキュラレンズデザインシステムの提案,,missing pdf_url
2023,[2-C03] チームラボ株式会社,,missing pdf_url
2023,[2-C07] EmoCast: 顔への表情変化情報投影による話し相手の印象向上システム,,missing pdf_url
2023,[2-C09] シャボン膜凍結式全周囲スクリーンの提案,,missing pdf_url
2023,[2-C10] PhotoelasticHair: 皮膚を通したセンシングが可能な埋め込み式毛状センサ,,missing pdf_url
2023,[3-A09] スマートウォッチの加速度センサを用いたThumb-to-fingerジェスチャ認識に基づく片手文字入力手法,,missing pdf_url
2023,[3-A10] MusicCommentVisualizer: 音楽動画へのコメントの可視化に基づく音楽推薦・鑑賞インタフェース,,missing pdf_url
2023,[3-A13] 脳神経外科医のためのMR縫合訓練システム,,missing pdf_url
2023,[3-B03] プログラミング初学者の課題解決方針の立案能力を高める選択肢タップ式学習支援システム,,missing pdf_url
2023,[3-B04] LensTouch: スマートグラスのレンズ面を使った入力手法,,missing pdf_url
2023,[3-B07] 導電性・強磁性・及び土台の可撓性を持つ毛構造の造形手法の提案,,missing pdf_url
2023,[3-B11] 動的に押し心地が変化する押しボタンの提案,,missing pdf_url
2023,[3-C09] VRリダイレクションを用いたゴルフスイングトレーニングシステム,,missing pdf_url
